id,SKU,Nombre del producto,Modelo,Categoría,Marca,Precio de venta,Costo,Tipo de producto,Unidad de medida,Código de barras,Tipo de producto - Afecta inventario,Imagen del producto
1318,3119,BATERIA LG Q6 PRIME / PLUS LG-M700F M700H BL-T33.,,BATERIAS,,130,53.51,Inventariable,PZ,6928032901346,true,
1320,3121,CHAROLA SIM HUAWEI P20 LITE NEGRO,,CHAROLA SIM,,50,4.2,Inventariable,PZ,100143,true,
1321,3122,CHAROLA SIM HUAWEI P30 NEGRO,,CHAROLA SIM,,50,7.84,Inventariable,PZ,100149,true,
1323,3124,CHAROLA SIM HUAWEI P30 PRO NEGRO,,CHAROLA SIM,,80,50,Inventariable,PZ,100152,true,
1324,3125,BATERIA LG INTUITION ( OPTIMUS VU VERIZON) VS950 BL-T3.,,BATERIAS,,120,55,Inventariable,PZ,6928032901347,true,
1325,3126,BATERIA LG X CAM BL-T23 LG-K580,,BATERIAS,,140,48,Inventariable,PZ,6928032901348,true,
1326,3127,BATERIA LG X POWER LG-K220 BL-T24.,,BATERIAS,,160,63,Inventariable,PZ,6928032901349,true,
1327,3128,BATERIA MOTO C XT1756 HC40,,BATERIAS,,130,46,Inventariable,PZ,6928032901350,true,
1328,3129,BATERIA MOTO C PLUS XT1724 HC60,,BATERIAS,,110,19.315,Inventariable,PZ,6928032901351,true,
1329,3130,BATERIA MOTO E4 PLUS / E5 PLUS XT1772 XT1924 HE50,,BATERIAS,,150,53.51,Inventariable,PZ,6928032901352,true,
1330,3131,BATERIA MOTO G3 XT1540 FC40*,,BATERIAS,,120,48.66,Inventariable,PZ,6928032901353,true,
1331,3132,BATERIA MOTO G5 PLUS XT-1687 HG40,,BATERIAS,,140,56.48,Inventariable,PZ,6928032901354,true,
1333,3134,BATERIA MOTO X PLAY XT1563 FL40.,,BATERIAS,,140,48.66,Inventariable,PZ,6928032901356,true,
1334,3135,BATERIA MOTO Z PLAY XT1635 GL40,,BATERIAS,,140,48,Inventariable,PZ,6928032901357,true,
1335,3136,BATERIA MOTO Z2 PLAY XT1710 HZ40.,,BATERIAS,,120,47.5632,Inventariable,PZ,6928032901358,true,
1336,3137,BATERIA MOTO Z3 PLAY XT1929 JS40.,,BATERIAS,,140,48,Inventariable,PZ,6928032901359,true,
1337,3138,BATERIA MOTO DROID RAZR / RAZR D1 XT912 XT916 EB40*.,,BATERIAS,,29,11,Inventariable,PZ,6928032901360,true,
1338,3139,BATERIA SAMSUNG A7 2018 / A10 / M10 SM-A750 SM-A105 SM-M105 EB-BA750ABUN.,,BATERIAS,,150,51,Inventariable,PZ,6928032901361,true,
1339,3140,BATERIA SAMSUNG A3 2017 SM-A320A. EB-BA320ABE,,BATERIAS,,140,46.79,Inventariable,PZ,6928032901362,true,
1340,3141,BATERIA SAMSUNG A5 2017 SM-A520F EB-BA520ABE,,BATERIAS,,110,44.04,Inventariable,PZ,6928032901363,true,
1341,3142,BATERIA SAMSUNG A50 / A20 / A30S / A30 / A50S SM-A505F SM-A205F SM-A307FN SM-A307G SM-A305F SM-A507FN EB-BA505ABU,,BATERIAS,,140,56.4813,Inventariable,PZ,6928032901364,true,
1342,3143,BATERIA SAMSUNG A7 2017 / J7 PRO SM-A720 SM-J730 EB-BA720ABE.,,BATERIAS,,150,51,Inventariable,PZ,6928032901365,true,
1343,3144,BATERIA SAMSUNG J5 PRIME SM-G570M EB-BG570ABE,,BATERIAS,,120,46.8,Inventariable,PZ,6928032901366,true,
1344,3145,BATERIA SAMSUNG J5 PRO SM-J530M EB-BJ530ABE.,,BATERIAS,,90,58,Inventariable,PZ,6928032901367,true,
1345,3146,BATERIA SAMSUNG J7 2016 METAL SM-J710MN EB-BJ710CBE.,,BATERIAS,,130,43,Inventariable,PZ,6928032901368,true,
1346,3147,BATERIA SAMSUNG J8 PLUS SM-J805 EB-BJ805ABE.,,BATERIAS,,160,74,Inventariable,PZ,6928032901369,true,
1347,3148,BATERIA SAMSUNG NOTE 8 SM-N950FD SM-N950F EB-BN950ABE,,BATERIAS,,110,44.5905,Inventariable,PZ,6928032901370,true,
1348,3149,BATERIA SAMSUNG S6 FLAT SM-G920I EB-BG920ABE,,BATERIAS,,130,50.5359,Inventariable,PZ,6928032901371,true,
1350,3151,BATERIA SAMSUNG S7 EDGE SM-G935F EB-BG935ABE.,,BATERIAS,,120,47.5632,Inventariable,PZ,6928032901372,true,
1351,3152,CHAROLA SIM SAMSUNG M30 NEGRO,,CHAROLA SIM,,50,12.5,Inventariable,PZ,100165,true,
1352,3153,BATERIA SAMSUNG S7 FLAT SM-G930 EB-BG930ABE.,,BATERIAS,,110,41.6178,Inventariable,PZ,6928032901373,true,
1353,3154,BATERIA SAMSUNG S8 SM-G950F EB-BG950ABA.,,BATERIAS,,110,41.6178,Inventariable,PZ,6928032901374,true,
1354,3155,BATERIA SAMSUNG S9 SM-G9600 EB-BG960ABE.,,BATERIAS,,110,41.6178,Inventariable,PZ,6928032901375,true,
1355,3156,BATERIA SONY C5/ C5 ULTRA E5533 E5506 LIS1579ERPC.,,BATERIAS,,150,63,Inventariable,PZ,6928032901376,true,
1356,3157,BATERIA SONY M4 E2306 AGPB014-A001.,,BATERIAS,,110,60,Inventariable,PZ,6928032901377,true,
1357,3158,BATERIA SONY XA1 ULTRA G3226 LIP1641ERPXC.,,BATERIAS,,140,57.8,Inventariable,PZ,6928032901378,true,
1358,3159,BATERIA SONY XA2 ULTRA / XA1 PLUS H3223 G3423 LIP1653ERPC.,,BATERIAS,,150,54,Inventariable,PZ,6928032901379,true,
1359,3160,BATERIA SONY XZ1 G8341 G8342 LIP1645ERPC.,,BATERIAS,,140,57.8,Inventariable,PZ,6928032901380,true,
1360,3161,BATERIA SONY XZ2 H8216 LIP1655ERPC,,BATERIAS,,130,54.39,Inventariable,PZ,6928032901381,true,
1362,3163,BATERIA ZTE BLADE A5 2019 LI3826T43P4H705949,,BATERIAS,,100,60,Inventariable,PZ,6928032901383,true,
1363,3164,BATERIA ZTE BLADE A602 / V PLUS V580 LI3830T43P6H856337.,,BATERIAS,,170,25.921,Inventariable,PZ,6928032901384,true,
1364,3165,BATERIA ZTE BLADE L3 PLUS LI3824T43P3HA04147.,,BATERIAS,,180,53,Inventariable,PZ,6928032901385,true,
1365,3166,BATERIA ZTE BLADE L7 LI3822T43P3H716043.,,BATERIAS,,130,43,Inventariable,PZ,6928032901386,true,
1366,3167,BATERIA ZTE V6/ D6 (BLADE X7) T660 LI3822T43P3H786032,,BATERIAS,,130,54,Inventariable,PZ,6928032901387,true,
1367,3168,BATERIA ZTE V ULTRA Z MAX Z982 LI3940T44P8H937238,,BATERIAS,,130,20.92,Inventariable,PZ,6928032901388,true,
1368,319,CC SAMSUNG S8 F,,CENTRO CARGA,,150,75,Inventariable,PZ,100114,true,
1370,320,CC SAMSUNG S8 PLUS F,,CENTRO CARGA,,160,75,Inventariable,PZ,100115,true,
1373,3347,CHAROLA SIM HUAWEI P20 LITE DORADO,,CHAROLA SIM,,50,12.5,Inventariable,PZ,100144,true,
1374,3348,CHAROLA SIM HUAWEI P20 LITE / G ELITE PLUS,,CHAROLA SIM,,50,12.5,Inventariable,PZ,100142,true,
1375,3349,CHAROLA SIM HUAWEI Y9 2019 AZUL MARINO,,CHAROLA SIM,,60,3.75,Inventariable,PZ,100154,true,
1376,3350,CHAROLA SIM HUAWEI Y9 2019 ROSA,,CHAROLA SIM,,60,3.75,Inventariable,PZ,100156,true,
1378,3359,CC SAMSUNG S8 PLUS INALAMBRICO NFC,,CENTRO CARGA,,60,11.25,Inventariable,PZ,100116,true,
1379,3360,CC SAMSUNG S9 PLUS INALAMBRICO NFC,,CENTRO CARGA,,160,46.7925,Inventariable,PZ,100120,true,
1380,3361,CC SAMSUNG S9 INALAMBRICO NFC,,CENTRO CARGA,,70,24.5,Inventariable,PZ,100118,true,
1381,3373,BATERIA XIAOMI REDMI MI A2 (MI 6X) M1804D2SG M1804D2SI BN36,,BATERIAS,,130,51.53,Inventariable,PZ,100041,true,
1382,3397,DISPLAY IPHONE X IPS A1865 A1901 A1902,,DISPLAY COMPLETO,APPLE,280,222.9525,Inventariable,PZ,100208,true,
1383,345,PEGAMENTO B7000 TRANSPARENTE 15ML,,INSUMOS,,30,5,Inventariable,PZ,100300,true,
1384,3501,BOTON FISICO MOTO G5S,,BOTONES,,50,21,Inventariable,PZ,100064,true,
1385,3503,BOTON FISICO MOTO G6,,BOTONES,,50,12.5,Inventariable,PZ,100066,true,
1386,3521,BATERIA XIAOMI REDMI 3 / / REDMI 3 PRO / REDMI 4X BM47,,BATERIAS,,160,60,Inventariable,PZ,100039,true,
1387,3537,CC XIAOMI REDMI 4X,,CENTRO CARGA,,70,12,Inventariable,PZ,100125,true,
1388,3552,CHAROLA SIM XIAOMI REDMI 4X NEGRO,,CHAROLA SIM,,50,12.5,Inventariable,PZ,100173,true,
1389,3568,DISPLAY XIAOMI REDMI NOTE 7 / NOTE 7 PRO IPS M1901F7E M1901F7C M1901F7G M1901F7S,,DISPLAY COMPLETO,XIAOMI,210,122,Inventariable,PZ,100229,true,
1392,3620,MICROSCOPIO DIGITAL CON PANTALLA,,OUTLET,,1280,640,Inventariable,PZ,100293,true,
1393,364,SUJETADOR DE LOGICA LUPA SENCILLO,,HERRAMIENTAS,,180,68,Inventariable,PZ,100337,true,
1394,3646,CC HUAWEI P SMART 2019,,CENTRO CARGA,,60,11,Inventariable,PZ,100099,true,
1395,3676,BOTON FISICO MOTO G5 NEGRO,,BOTONES,,50,21,Inventariable,PZ,100072,true,
1396,3711,CC HUAWEI P20,,CENTRO CARGA,,90,23,Inventariable,PZ,100100,true,
1401,3770,CC ZTE BLADE A610 V6 MAX,,CENTRO CARGA,,70,23,Inventariable,PZ,100130,true,
1402,3771,CHAROLA SIM XIAOMI REDMI 4X DORADO,,CHAROLA SIM,,50,12.5,Inventariable,PZ,100172,true,
1403,3784,CHAROLA SIM HUAWEI P SMART 2019 AZUL,,CHAROLA SIM,,30,3.75,Inventariable,PZ,100140,true,
1404,3807,BATERIA SAMSUNG A20E SM-A202F EB-BA202ABU.,,BATERIAS,,180,23.719,Inventariable,PZ,100031,true,
1405,3836,TAPA TRASERA SAMSUNG M31 NEGRO,,TAPAS Y MARCOS,,80,53,Inventariable,PZ,100309,true,
1406,3837,PUNTA CAUTIN JABE 2245 035,,OUTLET,,360,140,Inventariable,PZ,100310,true,
1407,3838,PUNTA CAUTIN JABE 2245 015,,OUTLET,,390,180,Inventariable,PZ,100308,true,
1409,3883,BATERIA XIAOMI 9 / MI 9 / M9 M1902F1G BM3L,,BATERIAS,,120,46.79,Inventariable,PZ,100037,true,
1410,3886,BATERIA XIAOMI REDMI NOTE 6 PRO MEI7S MEI7 M1806E7TG M1806E7TH M1806E7T BN48,,BATERIAS,,130,50.5359,Inventariable,PZ,100044,true,
1412,3890,BATERIA ZTE Z MAX Z970 LI3834T43P3H965844.,,BATERIAS,,140,125,Inventariable,PZ,100052,true,
1413,3897,CC XIAOMI REDMI NOTE 7 M1810F6LH,,CENTRO CARGA,,70,19,Inventariable,PZ,100128,true,
1414,390,BATERIA ZTE A31 GB-31241/ LI3830T43P8H486375,,BATERIAS,,150,51,Inventariable,PZ,100303,true,
1415,3910,DISPLAY XIAOMI REDMI 7 IPS M1810F6LG M1810F6LH M1810F6LI,,DISPLAY COMPLETO,XIAOMI,190,111,Inventariable,PZ,100228,true,
1419,4065,LLAVE XIAOMI,,OUTLET,,640,400,Inventariable,PZ,100290,true,
1422,424,BATERIA IPHONE 6 A1549 A1586 A1589 616-0806,,BATERIAS,,110,44.59,Inventariable,PZ,100015,true,
1424,432,BATERIA LG NEXUS 5X / X SCREEN K500H BL-T19.,,BATERIAS,,130,69,Inventariable,PZ,100019,true,
1426,4461,ESTUFA CON CAMPANA VIOMI JZT-VG301,,DOMOTICA,,3900,2000,Inventariable,PZ,100241,true,
